             rho            U_eq          phi_eq               q            j_eq            p_eq
      0.2652E+00      0.0000E+00      0.0000E+00      0.2141E+01      0.8709E+00      0.3216E-01
      0.2661E+00      0.0000E+00      0.0000E+00      0.2142E+01      0.8701E+00      0.3215E-01
      0.2670E+00      0.0000E+00      0.0000E+00      0.2143E+01      0.8694E+00      0.3215E-01
      0.2679E+00      0.0000E+00      0.0000E+00      0.2144E+01      0.8686E+00      0.3214E-01
      0.2688E+00      0.0000E+00      0.0000E+00      0.2144E+01      0.8678E+00      0.3213E-01
      0.2696E+00      0.0000E+00      0.0000E+00      0.2145E+01      0.8670E+00      0.3212E-01
      0.2705E+00      0.0000E+00      0.0000E+00      0.2146E+01      0.8662E+00      0.3211E-01
      0.2714E+00      0.0000E+00      0.0000E+00      0.2147E+01      0.8655E+00      0.3211E-01
      0.2723E+00      0.0000E+00      0.0000E+00      0.2148E+01      0.8647E+00      0.3210E-01
      0.2731E+00      0.0000E+00      0.0000E+00      0.2149E+01      0.8639E+00      0.3209E-01
      0.2740E+00      0.0000E+00      0.0000E+00      0.2150E+01      0.8631E+00      0.3208E-01
      0.2749E+00      0.0000E+00      0.0000E+00      0.2151E+01      0.8623E+00      0.3207E-01
      0.2758E+00      0.0000E+00      0.0000E+00      0.2152E+01      0.8615E+00      0.3207E-01
      0.2767E+00      0.0000E+00      0.0000E+00      0.2153E+01      0.8607E+00      0.3206E-01
      0.2775E+00      0.0000E+00      0.0000E+00      0.2154E+01      0.8600E+00      0.3205E-01
      0.2784E+00      0.0000E+00      0.0000E+00      0.2155E+01      0.8592E+00      0.3204E-01
      0.2793E+00      0.0000E+00      0.0000E+00      0.2156E+01      0.8584E+00      0.3203E-01
      0.2802E+00      0.0000E+00      0.0000E+00      0.2157E+01      0.8576E+00      0.3203E-01
      0.2811E+00      0.0000E+00      0.0000E+00      0.2158E+01      0.8568E+00      0.3202E-01
      0.2819E+00      0.0000E+00      0.0000E+00      0.2159E+01      0.8560E+00      0.3201E-01
      0.2828E+00      0.0000E+00      0.0000E+00      0.2160E+01      0.8552E+00      0.3200E-01
