               n               m        E_phi_nm        E_psi_nm          E_p_nm
     -0.1000E+01     -0.1680E+03      0.6268E-28      0.2927E-26      0.7376E-21
      0.0000E+00     -0.1680E+03      0.3671E-28      0.1817E-26      0.5491E-21
      0.1000E+01     -0.1680E+03      0.1945E-28      0.9248E-27      0.3045E-21
      0.2000E+01     -0.1680E+03      0.8976E-29      0.6406E-27      0.2170E-21
      0.3000E+01     -0.1680E+03      0.3939E-29      0.3999E-27      0.1445E-21
      0.4000E+01     -0.1680E+03      0.2102E-29      0.2080E-27      0.8223E-22
      0.5000E+01     -0.1680E+03      0.1122E-29      0.1222E-27      0.5168E-22
      0.6000E+01     -0.1680E+03      0.4841E-30      0.7249E-28      0.2929E-22
      0.7000E+01     -0.1680E+03      0.2450E-30      0.5401E-28      0.2164E-22
      0.8000E+01     -0.1680E+03      0.1635E-30      0.3207E-28      0.1323E-22
      0.9000E+01     -0.1680E+03      0.9193E-31      0.2427E-28      0.1078E-22
      0.1000E+02     -0.1680E+03      0.4415E-31      0.1520E-28      0.5946E-23
      0.1100E+02     -0.1680E+03      0.2449E-31      0.1007E-28      0.4076E-23
      0.1200E+02     -0.1680E+03      0.1427E-31      0.3966E-29      0.1701E-23
      0.1300E+02     -0.1680E+03      0.8054E-32      0.2818E-29      0.1212E-23
      0.1400E+02     -0.1680E+03      0.4726E-32      0.1455E-29      0.6057E-24
      0.1500E+02     -0.1680E+03      0.2758E-32      0.1331E-29      0.4325E-24
      0.1600E+02     -0.1680E+03      0.1513E-32      0.1064E-29      0.3409E-24
      0.1700E+02     -0.1680E+03      0.8561E-33      0.8944E-30      0.3047E-24
      0.1800E+02     -0.1680E+03      0.5172E-33      0.5339E-30      0.2209E-24
      0.1900E+02     -0.1680E+03      0.2852E-33      0.2512E-30      0.1219E-24
      0.2000E+02     -0.1680E+03      0.1530E-33      0.1492E-30      0.7013E-25
      0.2100E+02     -0.1680E+03      0.9034E-34      0.1073E-30      0.4420E-25
      0.2200E+02     -0.1680E+03      0.4885E-34      0.7556E-31      0.3076E-25
      0.2300E+02     -0.1680E+03      0.3737E-34      0.4497E-31      0.1856E-25
      0.2400E+02     -0.1680E+03      0.2478E-34      0.3926E-31      0.1515E-25
      0.2500E+02     -0.1680E+03      0.1560E-34      0.3523E-31      0.1277E-25
      0.2600E+02     -0.1680E+03      0.1047E-34      0.1208E-31      0.4399E-26
      0.2700E+02     -0.1680E+03      0.6815E-35      0.4429E-32      0.2162E-26
      0.2800E+02     -0.1680E+03      0.4038E-35      0.2143E-32      0.9747E-27
      0.2900E+02     -0.1680E+03      0.2292E-35      0.1779E-32      0.6952E-27
      0.3000E+02     -0.1680E+03      0.1361E-35      0.1836E-32      0.7857E-27
      0.3100E+02     -0.1680E+03      0.8161E-36      0.5839E-33      0.3753E-27
      0.3200E+02     -0.1680E+03      0.4560E-36      0.2217E-33      0.1389E-27
      0.3300E+02     -0.1680E+03      0.2681E-36      0.1640E-33      0.1100E-27
      0.3400E+02     -0.1680E+03      0.1650E-36      0.9597E-34      0.6827E-28
      0.3500E+02     -0.1680E+03      0.9599E-37      0.6871E-34      0.4166E-28
      0.3600E+02     -0.1680E+03      0.5331E-37      0.3062E-34      0.2400E-28
      0.3700E+02     -0.1680E+03      0.2997E-37      0.1412E-34      0.9353E-29
      0.3800E+02     -0.1680E+03      0.1452E-37      0.1134E-34      0.8332E-29
      0.3900E+02     -0.1680E+03      0.7259E-38      0.3855E-35      0.3481E-29
      0.4000E+02     -0.1680E+03      0.3671E-38      0.1761E-35      0.1768E-29
 
     -0.4000E+02     -0.1670E+03      0.2755E-11      0.4742E-11      0.1988E-09
     -0.3900E+02     -0.1670E+03      0.1510E-12      0.1535E-12      0.2719E-11
     -0.3800E+02     -0.1670E+03      0.4191E-13      0.2987E-13      0.1775E-12
     -0.3700E+02     -0.1670E+03      0.1325E-13      0.1248E-13      0.7448E-13
     -0.3600E+02     -0.1670E+03      0.5436E-14      0.6588E-14      0.3854E-13
     -0.3500E+02     -0.1670E+03      0.3389E-14      0.2952E-14      0.1879E-13
     -0.3400E+02     -0.1670E+03      0.1197E-14      0.9223E-15      0.7422E-14
     -0.3300E+02     -0.1670E+03      0.4059E-15      0.2885E-15      0.4896E-14
     -0.3200E+02     -0.1670E+03      0.1085E-15      0.7668E-16      0.2357E-14
     -0.3100E+02     -0.1670E+03      0.3270E-16      0.2077E-16      0.1605E-14
     -0.3000E+02     -0.1670E+03      0.9207E-17      0.5401E-17      0.8408E-15
     -0.2900E+02     -0.1670E+03      0.1937E-17      0.1078E-17      0.4752E-15
     -0.2800E+02     -0.1670E+03      0.8061E-18      0.3775E-18      0.2847E-15
